material,number_of_elements,mean_Valence,wtd_mean_Valence,std_Valence,wtd_std_Valence,entropy_Valence,wtd_entropy_Valence,mean_fie,wtd_mean_fie,std_fie,wtd_std_fie,entropy_fie,wtd_entropy_fie,mean_ElectronAffinity,wtd_mean_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,mean_atomic_radius,wtd_mean_atomic_radius,mean_atomic_mass,wtd_mean_atomic_mass,gmean_FusionHeat,wtd_gmean_FusionHeat,mean_FusionHeat,wtd_mean_FusionHeat,gmean_Valence,wtd_gmean_Valence,range_Valence,wtd_range_Valence,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,gmean_fie,wtd_gmean_fie,range_fie,wtd_range_fie,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,max,mean,min
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.56,6,2.166666667,2.075636943,0.372677996,0.26441633,1.778233306,1.311363943,717.0,993.2210191,276.7764501,342.4706203,1.727152732,0.967364263,56.625,109.1521099,55.36618485,48.5574198,1.285445988,0.816690397,180.1666667,116.4713376,86.27073333,57.0677121,4.800562629,1.380487633,7.593666667,5.135216561,2.139826388,2.062286506,1,1.036624204,66.28874495,37.10487866,1.582046101,1.497757406,157.0546,17.33433917,54.35706128,52.53487955,676.5735073,927.5864124,810.6,683.4765924,159.7305903,91.53680163,1.704460363,1.527839386,205,33.86146497,67.6496284,78.85831934,3870.238167,3174.870561,1031.375226,77.0888322,1.438218845,0.94219572,8958.571,2139.381032,3033.522189,3762.962594,26.46461931,85.24710583,138.63,74.41134554,1.609517539,1.137498184,12.878,3.094984076,3.783698441,5.441587193,115.3377633,102.7089462,19.33488916,1.371677856,1.083915354,0.342100503,399.97342,95.52751873,143.3255053,167.397728,30.0,30.0,30.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.58,6,2.166666667,2.075516693,0.372677996,0.264223243,1.778233306,1.310405731,717.0,993.7295707,276.7764501,342.4355089,1.727152732,0.966109049,56.625,109.2051272,55.36618485,48.53699307,1.285445988,0.815789535,180.1666667,116.3624801,86.27073333,57.00242067,4.800562629,1.376482545,7.593666667,5.127405405,2.139826388,2.062185958,1,1.038155803,66.28874495,37.05528937,1.582046101,1.497945785,157.0546,17.3067806,54.35706128,52.5185961,676.5735073,928.0991009,810.6,684.4775835,159.7305903,91.44290598,1.704460363,1.527843935,205,33.80763116,67.6496284,78.84281675,3870.238167,3169.825343,1031.375226,76.60162001,1.438218845,0.942201032,8958.571,2135.977518,3033.522189,3762.095292,26.46461931,85.31676691,138.63,74.51959459,1.609517539,1.137680715,12.878,3.090063593,3.783698441,5.440782293,115.3377633,102.5456992,19.33488916,1.363104773,1.083915354,0.342104032,399.97342,95.37560442,143.3255053,167.3146293,55.0,55.0,55.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,6,2.166666667,2.074451411,0.372677996,0.262504092,1.778233306,1.301810862,717.0,998.2347962,276.7764501,342.0912879,1.727152732,0.954959113,56.625,109.6748041,55.36618485,48.35311865,1.285445988,0.807759638,180.1666667,115.3981191,86.27073333,56.42400815,4.800562629,1.341505329,7.593666667,5.058206897,2.139826388,2.06129542,1,1.051724138,66.28874495,36.61886525,1.582046101,1.499582274,157.0546,17.06264107,54.35706128,52.37056632,676.5735073,932.6533676,810.6,693.3452978,159.7305903,90.6152854,1.704460363,1.527815355,205,33.330721,67.6496284,78.69877174,3870.238167,3125.130097,1031.375226,72.41770713,1.438218845,0.942248744,8958.571,2105.826016,3033.522189,3754.107086,26.46461931,85.93638104,138.63,75.47856583,1.609517539,1.139313239,12.878,3.046473354,3.783698441,5.433156137,115.3377633,101.0995048,19.33488916,1.289458427,1.083915354,0.342135743,399.97342,94.02980558,143.3255053,166.5696671,80.0,80.0,80.0
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,6,2.166666667,2.07421875,0.372677996,0.262126548,1.778233306,1.299908302,717.0,999.21875,276.7764501,342.0081669,1.727152732,0.952516817,56.625,109.7773828,55.36618485,48.31225934,1.285445988,0.805994212,180.1666667,115.1875,86.27073333,56.29768125,4.800562629,1.333985254,7.593666667,5.04309375,2.139826388,2.061100975,1,1.0546875,66.28874495,36.524235,1.582046101,1.499931783,157.0546,17.00932031,54.35706128,52.33732999,676.5735073,933.6510017,810.6,695.2820313,159.7305903,90.43552975,1.704460363,1.527792388,205,33.2265625,67.6496284,78.66570389,3870.238167,3115.368531,1031.375226,71.53477755,1.438218845,0.942259323,8958.571,2099.240844,3033.522189,3752.289343,26.46461931,86.07230409,138.63,75.68800781,1.609517539,1.139673545,12.878,3.036953125,3.783698441,5.431371839,115.3377633,100.7836519,19.33488916,1.273910907,1.083915354,0.342142777,399.97342,93.73587938,143.3255053,166.4048493,80.0,80.0,80.0
Ba1.6Sr0.4Yb1Cu3O6.53,5,2.2,2.07980846,0.4,0.270996438,1.594166699,1.297687132,742.52,992.5094174,296.6793245,342.4592728,1.538436724,0.959904648,67.176,109.2623304,54.86853109,48.26826685,1.237240448,0.821443804,177.4,116.7470072,95.50928,57.69667055,4.278179416,1.385968477,7.4044,5.143628093,2.168943542,2.065777619,1,0.978451716,73.30718581,37.39734065,1.419515338,1.481980833,157.0546,14.73864326,55.07743337,53.05297685,695.4981183,926.899217,810.6,666.7951317,153.6403791,91.72772402,1.503749526,1.500974925,205,27.7254589,73.79593485,79.01060574,4334.2858,3202.500508,950.6785489,78.27825656,1.278404213,0.937295155,8958.571,2144.506674,3122.605805,3768.869358,38.87376351,86.02625571,135.97,74.05530726,1.387009221,1.110945114,12.878,3.020777334,4.118824764,5.440945698,98.405316,102.3123358,12.11724879,1.375687202,0.678846841,0.303914292,399.97342,95.75629949,151.4278506,167.4577991,34.0,34.0,34.0
Ba1.6Sr0.4Yb1Cu3O6.64,5,2.2,2.079113924,0.4,0.269916489,1.594166699,1.292572164,742.52,995.2993671,296.6793245,342.2636158,1.538436724,0.953122825,67.176,109.5515823,54.86853109,48.15683332,1.237240448,0.816485832,177.4,116.1487342,95.50928,57.33379873,4.278179416,1.364053348,7.4044,5.100797468,2.168943542,2.065195957,1,0.987341772,73.30718581,37.1220349,1.419515338,1.483062067,157.0546,14.61037975,55.07743337,52.96341318,695.4981183,929.7130055,810.6,672.4196203,153.6403791,91.21220384,1.503749526,1.501093532,205,27.48417722,73.79593485,78.9247761,4334.2858,3174.643082,950.6785489,75.59809385,1.278404213,0.937324224,8958.571,2125.831601,3122.605805,3764.194439,38.87376351,86.40492051,135.97,74.65094937,1.387009221,1.111958449,12.878,2.992556962,4.118824764,5.43647158,98.405316,101.4221908,12.11724879,1.329241417,0.678846841,0.303933895,399.97342,94.92274595,151.4278506,166.9980057,47.0,47.0,47.0
Ba1.6Sr0.4Yb1Cu3O6.69,5,2.2,2.078802206,0.4,0.269429803,1.594166699,1.290252685,742.52,996.5515366,296.6793245,342.1683698,1.538436724,0.950072092,67.176,109.6814027,54.86853109,48.10617097,1.237240448,0.814249492,177.4,115.8802206,95.50928,57.17093664,4.278179416,1.354330515,7.4044,5.081574468,2.168943542,2.064934952,1,0.991331757,73.30718581,36.99913355,1.419515338,1.483540426,157.0546,14.55281324,55.07743337,52.9223575,695.4981183,930.9786499,810.6,674.9439716,153.6403791,90.98177392,1.503749526,1.50113171,205,27.37588652,73.79593485,78.88474897,4334.2858,3162.140269,950.6785489,74.42522381,1.278404213,0.937337415,8958.571,2117.44996,3122.605805,3762.027314,38.87376351,86.5754122,135.97,74.91828211,1.387009221,1.11241677,12.878,2.979891253,4.118824764,5.434352583,98.405316,101.0226809,12.11724879,1.308908912,0.678846841,0.303942792,399.97342,94.54863513,151.4278506,166.7896871,48.9,48.9,48.9
Ba1.6Sr0.4Yb1Cu3O6.75,5,2.2,2.078431373,0.4,0.2688492,1.594166699,1.287474084,742.52,998.0411765,296.6793245,342.0490558,1.538436724,0.946437236,67.176,109.8358431,54.86853109,48.04537421,1.237240448,0.811580121,177.4,115.5607843,95.50928,56.97718824,4.278179416,1.342854,7.4044,5.058705882,2.168943542,2.064624491,1,0.996078431,73.30718581,36.85345416,1.419515338,1.48410381,157.0546,14.48432941,55.07743337,52.87282083,695.4981183,932.4865642,810.6,677.9470588,153.6403791,90.70840172,1.503749526,1.501164807,205,27.24705882,73.79593485,78.83591318,4334.2858,3147.266333,950.6785489,73.05359926,1.278404213,0.937353228,8958.571,2107.478765,3122.605805,3759.393415,38.87376351,86.77867534,135.97,75.23631373,1.387009221,1.112964888,12.878,2.964823529,4.118824764,5.431742043,98.405316,100.5474051,12.11724879,1.285125094,0.678846841,0.30395346,399.97342,94.10357529,151.4278506,166.5402739,60.0,60.0,60.0
Ba1.6Sr0.4Yb1Cu3O6.8,5,2.2,2.078125,0.4,0.268368188,1.594166699,1.285162697,742.52,999.271875,296.6793245,341.9455551,1.538436724,0.943429692,67.176,109.9634375,54.86853109,47.99471264,1.237240448,0.809367491,177.4,115.296875,95.50928,56.81711875,4.278179416,1.333445825,7.4044,5.0398125,2.168943542,2.064368033,1,1.0,73.30718581,36.73353074,1.419515338,1.484564526,157.0546,14.42775,55.07743337,52.83132399,695.4981183,933.7342029,810.6,680.428125,153.6403791,90.48316905,1.503749526,1.501181946,205,27.140625,73.79593485,78.79456669,4334.2858,3134.977906,950.6785489,71.9394913,1.278404213,0.93736639,8958.571,2099.240844,3122.605805,3757.171549,38.87376351,86.94696558,135.97,75.4990625,1.387009221,1.11342011,12.878,2.952375,4.118824764,5.429511681,98.405316,100.1547456,12.11724879,1.265801931,0.678846841,0.30396234,399.97342,93.73587938,151.4278506,166.3329092,81.0,81.0,81.0
Ba1.6Sr0.4Yb1Cu3O6.96,5,2.2,2.077160494,0.4,0.266845933,1.594166699,1.277792667,742.52,1003.146296,296.6793245,341.5905643,1.538436724,0.933935027,67.176,110.3651235,54.86853109,47.83264985,1.237240448,0.802359209,177.4,114.4660494,95.50928,56.3131963,4.278179416,1.304255731,7.4044,4.980333333,2.168943542,2.063560871,1,1.012345679,73.30718581,36.3585362,1.419515338,1.485986253,157.0546,14.24962963,55.07743337,52.69729779,695.4981183,937.6728646,810.6,688.2388889,153.6403791,89.77774843,1.503749526,1.501174563,205,26.80555556,73.79593485,78.65847859,4334.2858,3096.292117,950.6785489,68.54184928,1.278404213,0.937408422,8958.571,2073.306648,3122.605805,3749.905264,38.87376351,87.47890216,135.97,76.32623457,1.387009221,1.114867516,12.878,2.913185185,4.118824764,5.422054329,98.405316,98.91859543,12.11724879,1.206846514,0.678846841,0.303990708,399.97342,92.57831815,151.4278506,165.6723231,82.0,82.0,82.0
Ba1.8Sr0.2Yb1Cu3O6.61,5,2.2,2.079302141,0.4,0.270209755,1.594166699,1.267219623,742.52,993.8057891,296.6793245,343.3266108,1.538436724,0.939092182,67.176,109.6146709,54.86853109,47.8970056,1.237240448,0.819422161,177.4,116.850119,95.50928,58.22051023,4.278179416,1.369957822,7.4044,5.112404441,2.168943542,2.065353569,1,1.01665345,73.30718581,37.46248609,1.419515338,1.42554936,157.0546,18.21289453,55.07743337,53.79486207,695.4981183,927.6465897,810.6,679.6027756,153.6403791,91.56095942,1.503749526,1.443408695,205,32.6407613,73.79593485,79.76001212,4334.2858,3196.149539,950.6785489,76.66537034,1.278404213,0.914909835,8958.571,2130.892491,3122.605805,3765.040513,38.87376351,87.48903038,135.97,74.59310071,1.387009221,1.068170699,12.878,3.0002046,4.118824764,5.43771774,98.405316,101.3937902,12.11724879,1.327594946,0.678846841,0.288848368,399.97342,95.14863649,151.4278506,167.2442048,56.7,56.7,56.7
Ba1Sr1Y1Cu3O7,5,2.2,2.076923077,0.4,0.266469355,1.594166699,1.304511495,745.0,1007.2,295.552371,337.3478871,1.53933748,0.951968859,63.096,108.4830769,56.61322694,50.78523383,1.183052128,0.751864813,175.4,111.9230769,78.67965,47.42205,4.627450897,1.33691978,8.1444,5.250307692,2.168943542,2.063362233,1,0.923076923,64.16471756,33.7483319,1.46270841,1.56385078,121.3276,7.924461538,39.45087525,38.34188983,698.3352994,943.9637852,810.6,668.4,152.2305959,88.69506866,1.504905418,1.569307288,205,17.15384615,72.68727537,75.07377043,3914.6858,2884.769462,880.2802937,64.88543986,1.273573595,0.902539709,8958.571,2066.922846,2928.943887,3636.31222,35.14367874,80.99223022,135.97,76.22846154,1.389069213,1.205413879,12.878,2.903538462,4.426353515,5.648556567,94.005316,97.70662,10.263155,1.153832153,0.576258025,0.272014213,399.97342,92.29338,153.3968732,165.8851359,82.7,82.7,82.7
